100	186.92	27.0052
600	257.46	37.0413
1100	289.76	41.5672
1600	307.02	44.7632
2100	286	41.3542
2600	332.9	47.6852
3100	312.96	45.1634
3600	343.26	49.5852
4100	325.16	47.0863
4600	379.66	54.913
5100	353.3	50.8919
5600	338.42	48.6329
6100	362.4	52.3822
6600	361.08	52.2865
7100	363.38	52.4257
7600	353	50.8731
8100	380.26	54.9269
8600	368.34	53.0291
9100	366.8	52.848
9600	406.34	58.163
10100	394.02	56.7498
10600	384.42	55.2151
11100	576.02	90.9232
11600	395.7	57.9283
12100	437.12	63.0836
12600	395.56	57.3934
13100	435.18	72.9091
13600	599.34	161.007
14100	404.04	57.7105
14600	419.54	60.2307
15100	418.74	61.0457
15600	656.04	97.4855
16100	396.98	57.8589
16600	425.84	60.7993
17100	422.04	60.9088
17600	456.7	66.7103
18100	484.56	72.0239
18600	533.38	76.6584
19100	411.5	59.2348
19600	452.86	72.0004
20100	415.22	59.6287
20600	420.1	60.3389
21100	447.92	64.56
21600	598.82	87.2723
22100	464.7	66.8537
22600	424.16	61.0492
23100	534.6	78.5099
23600	817.46	120.9
24100	438.36	62.7839
24600	404.28	58.1407
25100	505.72	72.8988
25600	528.18	77.0698
26100	455.02	64.9602
26600	511.38	80.6804
27100	581.94	85.3425
27600	427.5	61.6241
28100	429.84	62.2625
28600	425.42	60.9675
29100	433.16	62.4524
29600	476.98	69.3058
30100	429.82	61.5508
30600	448.24	64.7235
31100	469.84	68.0044
31600	446.88	64.8923
32100	459.04	65.8793
32600	464.84	66.9144
33100	578.74	86.9589
33600	2354.22	922.944
34100	490.16	73.1434
34600	440.36	64.3487
35100	477.9	68.9676
35600	478.98	69.5196
36100	531.96	77.6113
36600	555.84	82.4809
37100	531.44	76.6624
37600	494.72	71.6075
38100	436.78	65.227
38600	429.6	61.6869
39100	479.16	69.1282
39600	473.12	68.6389
40100	531.24	78.175
40600	509.4	75.6364
41100	461.48	66.6063
41600	717.42	105.444
42100	485.22	71.2673
42600	611.86	90.6981
43100	538.22	77.6105
43600	471.28	67.7574
44100	560.46	82.6914
44600	527.06	77.0394
45100	520.94	77.1446
45600	492.02	71.4087
46100	474.44	67.8539
46600	469.74	67.7915
47100	498.44	72.1855
47600	505.38	73.2872
48100	548.2	79.6644
48600	491.32	70.6176
49100	876.28	128.91
49600	464.62	67.5786
